% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,14,17,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,108,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,101,1,34,highrate
OTH,60,116,1,37,highrate
OTH,60,102,1,33,highrate
OTH,60,158,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,86,1,42,highrate
OTH,60,87,1,41,highrate
OTH,60,107,1,40,highrate
OTH,60,83,1,39,highrate
OTH,60,83,1,40,highrate
OTH,60,110,1,33,highrate
OTH,60,103,1,34,highrate
OTH,60,143,1,33,highrate
OTH,60,111,1,33,highrate
OTH,60,83,1,41,highrate
OTH,60,119,1,33,highrate
OTH,60,111,1,34,highrate
OTH,60,106,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,121,1,33,highrate
OTH,60,164,1,33,highrate
OTH,60,136,1,18,highrate
OTH,60,113,1,34,highrate
OTH,60,141,1,35,highrate
OTH,60,86,1,42,highrate
OTH,60,79,1,41,highrate
OTH,60,106,1,33,highrate
OTH,60,117,1,33,highrate
OTH,60,117,1,33,highrate
OTH,60,121,1,33,highrate
OTH,60,125,1,33,highrate
OTH,60,63,1,26,highrate
OTH,60,164,1,33,highrate
OTH,60,148,1,33,highrate
OTH,60,108,1,34,highrate
OTH,60,48,1,22,highrate
OTH,60,120,1,33,highrate
OTH,60,139,1,33,highrate
OTH,60,139,1,19,highrate
OTH,60,160,1,33,highrate
OTH,60,138,1,33,highrate
OTH,60,106,1,40,highrate
OTH,60,145,1,33,highrate
OTH,60,110,1,33,highrate
OTH,60,73,1,29,highrate
OTH,60,30,1,27,highrate
OTH,60,110,1,33,highrate
OTH,60,139,1,18,highrate
OTH,60,60,1,25,highrate
OTH,60,86,1,40,highrate
OTH,60,108,1,33,highrate
OTH,60,140,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,92,1,42,highrate
OTH,60,111,1,33,highrate
OTH,60,104,1,39,highrate
OTH,60,95,1,42,highrate
OTH,60,112,1,33,highrate
OTH,60,141,1,26,highrate
OTH,60,99,1,41,highrate
OTH,60,110,1,34,highrate
OTH,60,143,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,85,1,40,highrate
OTH,60,141,1,34,highrate
OTH,60,109,1,34,highrate
OTH,60,137,1,33,highrate
OTH,60,12,1,12,highrate
OTH,60,136,1,10,highrate
OTH,60,138,1,21,highrate
OTH,60,149,1,33,highrate
OTH,60,114,1,34,highrate
OTH,60,153,1,33,highrate
OTH,60,114,1,34,highrate
OTH,60,145,1,33,highrate
OTH,60,121,1,33,highrate
OTH,60,150,1,33,highrate
