% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
OTH,66,2920,53,normal
SF,946,2364,100,normal
SF,946,1462,100,normal
SF,946,2167,100,normal
SF,946,1152,100,normal
SF,946,2151,100,normal
SF,946,2485,100,normal
SF,880,2158,86,normal
OTH,66,2734,51,normal
OTH,66,5880,55,normal
SF,880,1943,100,normal
SF,946,2102,100,normal
OTH,66,5517,100,normal
OTH,146,2586,69,normal
OTH,66,3586,59,normal
SF,946,1881,100,normal
SF,946,4000,98,normal
SF,1120,2065,100,normal
SF,946,1877,100,normal
OTH,66,3832,31,normal
OTH,66,3361,49,normal
OTH,146,4296,46,normal
SF,946,3517,100,normal
OTH,66,1883,39,normal
OTH,66,5163,42,normal
OTH,66,4487,49,normal
OTH,66,3157,40,normal
SF,1024,3014,55,normal
OTH,66,3988,48,normal
SF,946,2202,100,normal
OTH,66,5315,73,normal
SF,946,502,97,normal
SF,946,3874,100,normal
OTH,66,4496,47,normal
OTH,66,2721,46,normal
SF,946,2101,100,normal
SF,946,2700,78,normal
SF,946,2108,100,normal
SF,946,1112,100,normal
SF,946,3953,100,normal
OTH,66,2731,48,normal
SF,1024,3068,69,normal
SF,880,2995,100,normal
SF,946,2815,100,normal
SF,946,3883,100,normal
SF,946,2161,100,normal
SF,946,3211,96,normal
SF,946,2394,100,normal
SF,946,1303,100,normal
SF,946,2453,100,normal
SF,1120,2077,100,normal
SF,946,2223,100,normal
OTH,66,3248,44,normal
OTH,66,3355,52,normal
SF,1012,3259,92,normal
OTH,78,3574,67,normal
SF,946,1929,59,normal
OTH,66,3118,30,normal
SF,946,1883,99,normal
SF,946,3937,42,normal
OTH,66,3019,39,normal
