=== Classifier ===
Naive Bayes Classifier

                       Class
Attribute          HIGH_RATE   LOW_RATE
                       (0.5)      (0.5)
========================================
duration
  mean                 1.5114    46.1068
  std. dev.            1.6411     18.702
  weight sum             6000       6000
  precision            0.0073     0.0073

cof
  N/A                  3001.0        2.0
  0                       1.0        1.0
  1                       1.0        1.0
  2                       1.0     2164.0
  3                       1.0        1.0
  4                     171.0        1.0
  5                       1.0        1.0
  6                       1.0        1.0
  7                       1.0        1.0
  8                       1.0        1.0
  9                       1.0        1.0
  10                      1.0        1.0
  11                      1.0        1.0
  12                      1.0        1.0
  13                      1.0        1.0
  14                      1.0        1.0
  15                      1.0        1.0
  16                      1.0        1.0
  17                      1.0        1.0
  18                   2760.0        6.0
  19                      1.0        1.0
  20                      1.0        1.0
  21                      1.0        1.0
  22                     72.0        9.0
  23                      1.0        1.0
  24                      1.0        1.0
  25                      1.0        1.0
  26                      1.0       48.0
  27                      1.0       67.0
  28                      1.0        1.0
  29                      1.0       70.0
  30                      1.0     1248.0
  31                      1.0     2395.0
  32                      1.0        1.0
  33                      1.0        1.0
  34                      1.0        1.0
  35                      1.0        1.0
  36                      1.0        1.0
  37                      1.0        1.0
  38                      1.0        1.0
  39                      1.0        1.0
  40                      1.0        1.0
  41                      1.0        1.0
  42                      1.0        1.0
  43                      1.0        1.0
  44                      1.0        1.0
  45                      1.0        1.0
  46                      1.0        1.0
  47                      1.0        1.0
  48                      1.0        1.0
  49                      1.0        1.0
  50                      1.0        1.0
  51                      1.0        1.0
  52                      1.0        1.0
  53                      1.0        1.0
  54                      1.0        1.0
  55                      1.0        1.0
  56                      1.0        1.0
  57                      1.0        1.0
  58                      1.0        1.0
  59                      1.0        1.0
  60                      1.0        1.0
  61                      1.0        1.0
  62                      1.0        1.0
  63                      1.0        1.0
  64                      1.0        1.0
  65                      1.0        1.0
  66                      1.0        1.0
  67                      1.0        1.0
  68                      1.0        1.0
  69                      1.0        1.0
  70                      1.0        1.0
  71                      1.0        1.0
  72                      1.0        1.0
  73                      1.0        1.0
  74                      1.0        1.0
  75                      1.0        1.0
  76                      1.0        1.0
  77                      1.0        1.0
  78                      1.0        1.0
  79                      1.0        1.0
  80                      1.0        1.0
  81                      1.0        1.0
  82                      1.0        1.0
  83                      1.0        1.0
  84                      1.0        1.0
  85                      1.0        1.0
  86                      1.0        1.0
  87                      1.0        1.0
  88                      1.0        1.0
  89                      1.0        1.0
  90                      1.0        1.0
  91                      1.0        1.0
  92                      1.0        1.0
  93                      1.0        1.0
  94                      1.0        1.0
  95                      1.0        1.0
  96                      1.0        1.0
  97                      1.0        1.0
  98                      1.0        1.0
  99                      1.0        1.0
  100                     1.0        1.0
  101                     1.0        1.0
  102                     1.0        1.0
  103                     1.0        1.0
  104                     1.0        1.0
  105                     1.0        1.0
  106                     1.0        1.0
  107                     1.0        1.0
  108                     1.0        1.0
  109                     1.0        1.0
  110                     1.0        1.0
  111                     1.0        1.0
  112                     1.0        1.0
  113                     1.0        1.0
  114                     1.0        1.0
  115                     1.0        1.0
  116                     1.0        1.0
  117                     1.0        1.0
  118                     1.0        1.0
  119                     1.0        1.0
  120                     1.0        1.0
  121                     1.0        1.0
  122                     1.0        1.0
  123                     1.0        1.0
  124                     1.0        1.0
  125                     1.0        1.0
  126                     1.0        1.0
  127                     1.0        1.0
  [total]              6129.0     6129.0

total_f_packets
  mean               326.3763     11.449
  std. dev.          404.0704      4.402
  weight sum             6000       6000
  precision             1.661      1.661

total_b_packets
  mean                 0.4675     6.0985
  std. dev.            0.4989     4.8283
  weight sum             6000       6000
  precision                 1          1

total_f_bytes
  mean             14995.9835   957.2005
  std. dev.        18601.5378   651.9804
  weight sum             6000       6000
  precision           40.1676    40.1676

total_b_bytes
  mean                      0  1279.2432
  std. dev.           54.0541  2445.9638
  weight sum             6000       6000
  precision          324.3243   324.3243

pps_f
  mean               101.3959    67.5042
  std. dev.          122.5336   381.7712
  weight sum             6000       6000
  precision            0.4987     0.4987

pps_b
  mean                      0    39.7804
  std. dev.            0.1081   215.6404
  weight sum             6000       6000
  precision            0.6486     0.6486

bps_f
  mean              4664.2385  4633.2565
  std. dev.         5636.5432 26220.1626
  weight sum             6000       6000
  precision           30.3745    30.3745

bps_b
  mean                      0 85836.7305
  std. dev.          199.2343471347.8586
  weight sum             6000       6000
  precision         1195.4061  1195.4061

rfb_packets
  mean                 0.4473     1.0579
  std. dev.            0.4921     1.0615
  weight sum             6000       6000
  precision            0.1857     0.1857

rfb_bytes
  mean                 0.5028     0.8725
  std. dev.            0.5483     2.4398
