% isAttack tcpFlood:	444
% isAttack normal:	1332
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,3015,47,normal
tcp,SF,2316,100,normal
tcp,OTH,3615,38,normal
tcp,OTH,3076,43,normal
tcp,SF,1865,94,normal
tcp,OTH,4913,78,normal
tcp,OTH,4416,43,normal
tcp,SF,4231,95,normal
tcp,OTH,4746,42,normal
tcp,SF,2531,100,normal
tcp,OTH,5982,32,normal
tcp,OTH,2864,50,normal
tcp,SF,3539,100,normal
tcp,S2,3615,100,normal
tcp,SF,1973,100,normal
tcp,SF,2337,78,normal
tcp,OTH,5109,42,normal
tcp,OTH,3268,35,normal
tcp,OTH,5784,41,normal
tcp,SF,3428,95,normal
tcp,SF,2778,100,normal
tcp,S1,2986,100,normal
tcp,OTH,4679,32,normal
tcp,OTH,2999,45,normal
tcp,SF,2285,100,normal
tcp,SF,2786,89,normal
tcp,OTH,3358,48,normal
tcp,SF,1479,100,normal
tcp,OTH,2905,49,normal
tcp,OTH,3850,49,normal
tcp,OTH,2766,47,normal
tcp,SF,3017,55,normal
tcp,OTH,3945,18,normal
tcp,OTH,2142,52,normal
tcp,SF,2021,86,normal
tcp,OTH,4980,33,normal
tcp,OTH,5076,25,normal
tcp,SF,2533,100,normal
tcp,OTH,4883,48,normal
tcp,SF,2114,100,normal
tcp,OTH,5993,50,normal
tcp,SF,3098,85,normal
tcp,OTH,5510,100,normal
tcp,RSTR,3342,100,normal
tcp,OTH,3316,47,normal
tcp,SF,1548,100,normal
tcp,OTH,3185,43,normal
tcp,SF,1943,100,normal
tcp,OTH,3535,45,normal
tcp,OTH,4059,37,normal
tcp,OTH,5084,42,normal
tcp,OTH,4937,59,normal
tcp,OTH,4073,34,normal
tcp,SF,2413,100,normal
tcp,SF,2251,100,normal
tcp,SF,1926,100,normal
tcp,OTH,5701,31,normal
tcp,OTH,3261,47,normal
tcp,OTH,3948,68,normal
tcp,OTH,5147,49,normal
tcp,SF,2139,100,normal
tcp,SF,2043,100,normal
tcp,SF,1950,99,normal
tcp,SF,1953,100,normal
tcp,SF,2249,100,normal
tcp,SF,2003,100,normal
tcp,OTH,5943,52,normal
tcp,OTH,3758,40,normal
tcp,S3,1757,100,normal
tcp,OTH,2956,42,normal
tcp,OTH,6323,51,normal
tcp,OTH,5023,46,normal
tcp,S2,2883,100,normal
tcp,SF,1248,100,normal
tcp,SF,3356,100,normal
tcp,OTH,2477,52,normal
tcp,SF,2784,89,normal
tcp,OTH,4441,49,normal
tcp,OTH,2520,48,normal
tcp,SF,1866,100,normal
tcp,SF,1944,100,normal
tcp,OTH,4742,52,normal
tcp,SF,2210,100,normal
tcp,SF,2141,100,normal
tcp,OTH,3065,40,normal
tcp,SF,2122,100,normal
tcp,OTH,5910,53,normal
tcp,SF,1144,100,normal
tcp,SF,2119,100,normal
tcp,SF,2323,47,normal
tcp,SF,2750,100,normal
tcp,OTH,3114,83,normal
tcp,SF,3028,100,normal
tcp,S1,1665,100,normal
tcp,SF,2187,100,normal
tcp,OTH,3069,85,normal
tcp,OTH,3493,48,normal
tcp,SF,1583,100,normal
tcp,SF,2122,100,normal
tcp,SF,2330,100,normal
tcp,S1,2264,100,normal
tcp,SF,2711,78,normal
tcp,OTH,3383,52,normal
tcp,SF,2179,98,normal
tcp,SF,2943,100,normal
tcp,SF,999,100,normal
tcp,OTH,3546,52,normal
tcp,SF,2034,100,normal
tcp,RSTR,1530,90,normal
tcp,SF,2780,100,normal
tcp,SF,2685,100,normal
tcp,SF,2533,100,normal
tcp,OTH,2789,46,normal
tcp,SF,2321,100,normal
tcp,SF,2167,99,normal
tcp,SF,2080,88,normal
tcp,SF,3088,100,normal
tcp,OTH,4355,80,normal
tcp,OTH,3005,56,normal
tcp,SF,3372,65,normal
tcp,OTH,5974,42,normal
tcp,SF,2187,100,normal
tcp,SF,281,100,normal
tcp,OTH,5917,64,normal
tcp,SF,1886,99,normal
tcp,SF,2753,100,normal
tcp,SF,3368,100,normal
tcp,SF,3909,100,normal
tcp,SF,2621,100,normal
tcp,OTH,3144,100,normal
tcp,SF,1723,100,normal
tcp,OTH,5463,100,normal
tcp,OTH,3743,52,normal
tcp,OTH,5044,46,normal
tcp,SF,3301,100,normal
tcp,SF,3345,96,normal
tcp,SF,3117,86,normal
tcp,S3,3754,100,normal
tcp,OTH,4363,48,normal
tcp,OTH,3868,46,normal
tcp,SF,2015,100,normal
tcp,SF,2216,100,normal
tcp,OTH,5011,47,normal
tcp,SF,2041,100,normal
tcp,OTH,3360,50,normal
tcp,OTH,5902,56,normal
tcp,OTH,3255,38,normal
tcp,OTH,2952,42,normal
tcp,OTH,5891,45,normal
tcp,SF,2202,100,normal
tcp,RSTR,1912,100,normal
tcp,SF,1241,100,normal
tcp,OTH,3721,50,normal
tcp,OTH,6276,50,normal
tcp,OTH,1889,45,normal
tcp,OTH,4318,53,normal
tcp,OTH,5082,31,normal
tcp,OTH,3876,100,normal
tcp,SF,1912,68,normal
tcp,SF,2306,100,normal
tcp,OTH,5909,50,normal
tcp,SF,1906,100,normal
tcp,SF,2214,100,normal
tcp,OTH,3217,47,normal
tcp,SF,4263,64,normal
tcp,OTH,3013,43,normal
tcp,SF,1945,100,normal
tcp,OTH,3030,45,normal
tcp,SF,105,100,normal
tcp,SF,3219,98,normal
tcp,OTH,3616,44,normal
tcp,SF,2113,100,normal
tcp,OTH,2856,48,normal
tcp,SF,1440,100,normal
tcp,SF,1980,100,normal
tcp,SF,2955,100,normal
tcp,SF,1530,100,normal
tcp,OTH,2987,46,normal
