@relation 'slowBody'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Jan24_2018/Data/slowHTTPTest/GET/B/1000Connection.pcapng,slowBody
192.168.1.50,48294,192.168.2.10,80,6,13,878,6,11896,52,67,246,53,52,1982,4396,2177,4,995,2986,1172,264,2103,5784,2333,11944,11944,11944,11944,0,0,0,0,0,13,878,6,11896,1,1,0,0,684,320,slowBody
192.168.1.60,55500,192.168.2.10,80,6,13,878,6,11896,52,67,246,53,52,1982,4396,2177,4,1066,3669,1380,283,2217,5626,2256,12797,12797,12797,12797,0,0,0,0,0,13,878,6,11896,1,1,0,0,684,320,slowBody
192.168.1.50,48306,192.168.2.10,80,6,8,870,6,806,40,108,405,121,52,134,538,197,1212,1409,1574,183,2644,2644,2644,0,31729301,9,863,2710,1234,1014456,7931246,10672330,4621493,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48344,192.168.2.10,80,6,8,872,6,806,40,109,405,121,52,134,538,197,1121,1471,1898,394,3275,3275,3275,0,31674522,11,899,3342,1447,1013130,7917506,10672153,4614217,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48308,192.168.2.10,80,6,8,861,6,806,40,107,405,121,52,134,538,197,1526,2198,3321,978,3258,3258,3258,0,31728671,11,1336,3325,1813,1014327,7930497,10672355,4621131,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48310,192.168.2.10,80,6,8,867,6,806,40,108,405,121,52,134,538,197,1526,2409,4038,1411,3182,3182,3182,0,31726370,10,1462,4038,2008,1014221,7929764,10672359,4620763,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48320,192.168.2.10,80,6,8,872,6,806,40,109,405,121,52,134,538,197,1269,2447,4038,1429,3289,3289,3289,0,31711897,7,1484,4038,2033,1013879,7926118,10672074,4618805,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48322,192.168.2.10,80,6,8,880,6,806,40,110,405,120,52,134,538,197,1296,2648,4762,1853,3169,3169,3169,0,31709581,10,1605,4762,2249,1013771,7925388,10672077,4618442,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48324,192.168.2.10,80,6,8,878,6,806,40,109,405,121,52,134,538,197,559,2344,4800,2198,2213,2213,2213,0,31706670,10,1420,4800,2127,1013637,7924892,10672075,4618235,1,175,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48326,192.168.2.10,80,6,8,827,6,806,40,103,405,122,52,134,538,197,1308,2972,5563,2273,3377,3377,3377,0,31705404,11,1802,5563,2566,1013526,7924098,10672084,4617838,1,165,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48328,192.168.2.10,80,6,8,872,6,806,40,109,405,121,52,134,538,197,1397,2926,5536,2270,3231,3231,3231,0,31702658,10,1773,5536,2539,1013782,7923448,10672086,4617288,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48330,192.168.2.10,80,6,8,864,6,806,40,108,405,121,52,134,538,197,1458,3028,5831,2433,3242,3242,3242,0,31699992,9,1833,5831,2652,1013661,7922705,10672089,4616928,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48332,192.168.2.10,80,6,8,834,6,806,40,104,405,122,52,134,538,197,1445,3296,6560,2834,3314,3314,3314,0,31697734,10,1994,6560,2939,1013553,7921940,10672106,4616547,1,166,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48334,192.168.2.10,80,6,8,873,6,806,40,109,405,121,52,134,538,197,1402,3394,6898,3044,3269,3269,3269,0,31694997,9,2053,6898,3067,1013447,7921183,10672105,4616170,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48336,192.168.2.10,80,6,8,870,6,806,40,108,405,121,52,134,538,197,1399,3487,7240,3257,3211,3211,3211,0,31692316,10,2110,7240,3197,1013315,7920441,10672102,4615818,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48338,192.168.2.10,80,6,8,874,6,806,40,109,405,121,52,134,538,197,1398,3516,7318,3299,3218,3218,3218,0,31689714,9,2126,7318,3230,1013472,7919770,10672129,4615324,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48340,192.168.2.10,80,6,8,861,6,806,40,107,405,121,52,134,538,197,1371,3821,8104,3721,3347,3347,3347,0,31687549,9,2309,8104,3558,1013381,7919000,10672130,4614930,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48342,192.168.2.10,80,6,8,883,6,806,40,110,405,120,52,134,538,197,1434,3854,8372,3915,3186,3186,3186,0,31684706,10,2330,8372,3656,1013241,7918264,10672129,4614588,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48346,192.168.2.10,80,6,8,918,6,806,40,114,405,120,52,134,538,197,1381,4110,8921,4178,3405,3405,3405,0,31679266,10,2482,8921,3897,1013024,7916713,10672156,4613821,1,183,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48348,192.168.2.10,80,6,8,831,6,806,40,103,405,122,52,134,538,197,1419,4168,9541,4653,2955,2955,2955,0,31676717,10,2517,9541,4136,1012884,7916032,10672154,4613513,1,166,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48350,192.168.2.10,80,6,8,889,6,806,40,111,405,120,52,134,538,197,1408,4277,9543,4566,3278,3278,3278,0,31674402,10,2584,9543,4149,1013157,7915370,10672181,4612951,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48352,192.168.2.10,80,6,8,849,6,806,40,106,405,122,52,134,538,197,1396,4363,9855,4761,3222,3222,3222,0,31671703,10,2634,9855,4278,1013066,7914632,10672183,4612579,1,169,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48354,192.168.2.10,80,6,8,858,6,806,40,107,405,121,52,134,538,197,1362,4389,9860,4746,3309,3309,3309,0,31668719,10,2652,9860,4283,1012929,7913864,10672186,4612219,1,171,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48356,192.168.2.10,80,6,8,906,6,806,40,113,405,120,52,134,538,197,1370,4465,10554,5272,2819,2819,2819,0,31666419,11,2692,10554,4566,1012814,7913239,10672187,4611929,1,181,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48358,192.168.2.10,80,6,8,888,6,806,40,111,405,120,52,134,538,197,1441,4816,10893,5273,3555,3555,3555,0,31664061,9,2900,10893,4727,1012708,7912389,10672184,4611502,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48360,192.168.2.10,80,6,8,881,6,806,40,110,405,120,52,134,538,197,1228,4627,11034,5551,2863,2863,2863,0,31661251,10,2789,11034,4773,1012909,7911826,10672185,4611045,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48362,192.168.2.10,80,6,8,837,6,806,40,104,405,122,52,134,538,197,1227,4771,11028,5434,3298,3298,3298,0,31658559,10,2876,11028,4777,1012815,7911044,10672210,4610652,1,167,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48364,192.168.2.10,80,6,8,871,6,806,40,108,405,121,52,134,538,197,1376,4948,11651,5808,3207,3207,3207,0,31656095,10,2982,11651,5042,1012707,7910295,10672207,4610287,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48366,192.168.2.10,80,6,8,872,6,806,40,109,405,121,52,134,538,197,1192,4933,11659,5837,3136,3136,3136,0,31653066,10,2971,11659,5045,1012575,7909552,10672174,4609939,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48368,192.168.2.10,80,6,8,825,6,806,40,103,405,122,52,134,538,197,1200,5155,12330,6224,3126,3126,3126,0,31650731,10,3105,12330,5334,1012469,7908801,10672196,4609573,1,165,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48370,192.168.2.10,80,6,8,883,6,806,40,110,405,121,52,134,538,197,1290,5073,12092,6084,3120,3120,3120,0,31647742,10,3056,12092,5231,1012609,7908115,10672203,4609086,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48372,192.168.2.10,80,6,8,883,6,806,40,110,405,120,52,134,538,197,896,5305,12768,6498,3139,3139,3139,0,31645443,9,3194,12768,5524,1012495,7907367,10672201,4608727,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48374,192.168.2.10,80,6,8,858,6,806,40,107,405,121,52,134,538,197,931,5292,12775,6509,3097,3097,3097,0,31642437,10,3187,12775,5527,1012384,7906624,10672225,4608370,1,171,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48376,192.168.2.10,80,6,8,855,6,806,40,106,405,121,52,134,538,197,1240,5478,13449,6907,2972,2972,2972,0,31640151,10,3298,13449,5821,1012282,7905915,10672225,4608026,1,171,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48380,192.168.2.10,80,6,8,872,6,806,40,109,405,121,52,134,538,197,1307,5525,13451,6868,3117,3117,3117,0,31634478,10,3327,13451,5820,1012360,7904460,10672250,4607139,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48382,192.168.2.10,80,6,8,849,6,806,40,106,405,121,52,134,538,197,1293,5678,13934,7154,3091,3091,3091,0,31631974,9,3418,13934,6031,1012254,7903720,10672250,4606782,1,169,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48384,192.168.2.10,80,6,8,896,6,806,40,112,405,120,52,134,538,197,1432,5667,13933,7158,3062,3062,3062,0,31629012,9,3412,13933,6031,1012123,7902988,10672253,4606445,1,179,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48386,192.168.2.10,80,6,8,885,6,806,40,110,405,120,52,134,538,197,1286,6342,15887,8271,3132,3132,3132,0,31628039,11,3818,15887,6883,1012015,7902237,10672280,4606084,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48388,192.168.2.10,80,6,8,871,6,806,40,108,405,121,52,134,538,197,1192,6361,15887,8259,3187,3187,3187,0,31625048,10,3828,15887,6883,1011905,7901476,10672285,4605718,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48390,192.168.2.10,80,6,8,874,6,806,40,109,405,121,52,134,538,197,1283,6226,15532,8064,3137,3137,3137,0,31621990,10,3747,15532,6728,1012076,7900812,10672286,4605229,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48392,192.168.2.10,80,6,8,868,6,806,40,108,405,121,52,134,538,197,1283,6217,15511,8053,3133,3133,3133,0,31618984,10,3742,15511,6719,1011980,7900068,10672313,4604866,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48394,192.168.2.10,80,6,8,834,6,806,40,104,405,122,52,134,538,197,1253,6418,16131,8416,3116,3116,3116,0,31616604,10,3863,16131,6991,1011872,7899321,10672312,4604508,1,166,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48396,192.168.2.10,80,6,8,875,6,806,40,109,405,121,52,134,538,197,1304,6427,16139,8414,3135,3135,3135,0,31613633,10,3868,16139,6994,1011740,7898572,10672311,4604165,1,175,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48398,192.168.2.10,80,6,8,842,6,806,40,105,405,122,52,134,538,197,1281,6424,16134,8414,3129,3129,3129,0,31610629,9,3872,16134,6988,1011634,7897817,10672305,4603801,1,168,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48402,192.168.2.10,80,6,8,884,6,806,40,110,405,120,52,134,538,197,1268,6502,16424,8596,3072,3072,3072,0,31605191,10,3913,16424,7121,1011687,7896406,10672305,4602963,1,176,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48404,192.168.2.10,80,6,8,864,6,806,40,108,405,121,52,134,538,197,1199,6816,17340,9120,3103,3103,3103,0,31603162,9,4101,17340,7523,1011580,7895663,10672331,4602609,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48406,192.168.2.10,80,6,8,805,6,806,40,100,405,123,52,134,538,197,1172,6966,17720,9322,3170,3170,3170,0,31600585,9,4191,17720,7688,1011483,7894906,10672331,4602241,1,161,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48408,192.168.2.10,80,6,8,849,6,806,40,106,405,121,52,134,538,197,1228,7500,17894,9065,4616,4616,4616,0,31597725,9,4515,17894,7744,1011353,7893786,10672330,4601689,1,169,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48410,192.168.2.10,80,6,8,850,6,806,40,106,405,121,52,134,538,197,1218,7054,17624,9170,3532,3532,3532,0,31594189,9,4244,17624,7636,1011521,7893241,10672359,4601273,1,170,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48412,192.168.2.10,80,6,8,879,6,806,40,109,405,121,52,134,538,197,1287,7113,18104,9524,3226,3226,3226,0,31591402,9,4277,18104,7855,1011431,7892503,10672359,4600913,1,175,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48414,192.168.2.10,80,6,8,862,6,806,40,107,405,121,52,134,538,197,1133,7208,18455,9750,3182,3182,3182,0,31588630,9,4336,18455,8012,1011296,7891736,10672361,4600565,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48416,192.168.2.10,80,6,8,869,6,806,40,108,405,121,52,134,538,197,1232,7323,18818,9960,3142,3142,3142,0,31585966,9,4405,18818,8172,1011189,7890984,10672380,4600209,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48418,192.168.2.10,80,6,8,846,6,806,40,105,405,122,52,134,538,197,1181,7473,19317,10263,3100,3100,3100,0,31583454,9,4496,19317,8394,1011084,7890243,10672392,4599858,1,169,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48420,192.168.2.10,80,6,8,860,6,806,40,107,405,121,52,134,538,197,1032,7580,19627,10445,3103,3103,3103,0,31581164,9,4565,19627,8527,1011197,7889584,10672395,4599415,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48422,192.168.2.10,80,6,8,837,6,806,40,104,405,122,52,134,538,197,1247,7712,19995,10642,3143,3143,3143,0,31578556,10,4638,19995,8692,1011101,7888840,10672419,4599059,1,167,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48428,192.168.2.10,80,6,8,863,6,806,40,107,405,121,52,134,538,197,1192,7689,19960,10633,3098,3098,3098,0,31569857,10,4624,19960,8678,1011089,7886683,10672420,4597851,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48430,192.168.2.10,80,6,8,885,6,806,40,110,405,120,52,134,538,197,1174,7921,20593,10981,3164,3164,3164,0,31567525,10,4765,20593,8955,1010956,7885924,10672395,4597509,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48432,192.168.2.10,80,6,8,870,6,806,40,108,405,121,52,134,538,197,1082,8043,21007,11237,3112,3112,3112,0,31565204,10,4837,21007,9140,1011112,7885254,10672424,4597035,1,174,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48434,192.168.2.10,80,6,8,850,6,806,40,106,405,121,52,134,538,197,1194,8179,21410,11464,3124,3124,3124,0,31562642,9,4926,21410,9314,1010930,7884502,10672428,4596731,1,170,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48436,192.168.2.10,80,6,8,907,6,806,40,113,405,120,52,134,538,197,1198,8202,21423,11455,3180,3180,3180,0,31559686,9,4933,21423,9321,1010821,7883754,10672429,4596383,1,181,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48438,192.168.2.10,80,6,8,851,6,806,40,106,405,122,52,134,538,197,1222,8297,21747,11653,3129,3129,3129,0,31556988,9,4989,21747,9467,1010713,7883010,10672445,4596036,1,170,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48440,192.168.2.10,80,6,8,841,6,806,40,105,405,122,52,134,538,197,1151,8276,21755,11679,3064,3064,3064,0,31553984,10,4977,21755,9473,1010583,7882274,10672446,4595708,1,168,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48442,192.168.2.10,80,6,8,889,6,806,40,111,405,121,52,134,538,197,1262,8667,22839,12276,3154,3154,3154,0,31552132,9,5211,22839,9949,1010474,7881518,10672447,4595356,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48444,192.168.2.10,80,6,8,865,6,806,40,108,405,121,52,134,538,197,1233,8719,22854,12248,3317,3317,3317,0,31549501,9,5247,22854,9948,1010742,7880815,10672445,4594793,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48446,192.168.2.10,80,6,8,840,6,806,40,105,405,122,52,134,538,197,1247,8725,22851,12239,3318,3318,3318,0,31546457,10,5252,22851,9945,1010629,7880048,10672443,4594438,1,168,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48448,192.168.2.10,80,6,8,868,6,806,40,108,405,121,52,134,538,197,1208,8888,23153,12365,3499,3499,3499,0,31543704,10,5350,23153,10070,1010522,7879238,10672445,4594056,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48452,192.168.2.10,80,6,8,863,6,806,40,107,405,121,52,134,538,197,1360,8917,23459,12596,3283,3283,3283,0,31538496,10,5367,23459,10216,1010608,7877914,10672444,4593267,1,172,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48454,192.168.2.10,80,6,8,885,6,806,40,110,405,120,52,134,538,197,1523,9024,23747,12751,3316,3316,3316,0,31535762,9,5431,23747,10342,1010505,7877151,10672446,4592909,1,177,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48456,192.168.2.10,80,6,8,837,6,806,40,104,405,122,52,134,538,197,1209,9134,24123,12987,3272,3272,3272,0,31533084,9,5498,24123,10510,1010399,7876398,10672445,4592559,1,167,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48458,192.168.2.10,80,6,8,867,6,806,40,108,405,121,52,134,538,197,1297,9114,24130,13007,3213,3213,3213,0,31530057,10,5487,24130,10517,1010293,7875654,10672446,4592215,1,173,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48460,192.168.2.10,80,6,8,846,6,806,40,105,405,121,52,134,538,197,1328,9216,24387,13141,3248,3248,3248,0,31527728,9,5545,24387,10629,1010540,7874999,10672447,4591696,1,169,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48462,192.168.2.10,80,6,8,839,6,806,40,104,405,122,52,134,538,197,1311,9224,24377,13126,3285,3285,3285,0,31524731,9,5551,24377,10622,1010450,7874243,10672445,4591335,1,167,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48464,192.168.2.10,80,6,8,851,6,806,40,106,405,121,52,134,538,197,1214,9427,25077,13558,3181,3181,3181,0,31522399,9,5670,25077,10938,1010344,7873511,10672442,4590999,1,170,1,161,4,1,0,0,412,320,slowBody
192.168.1.50,48466,192.168.2.10,80,6,8,864,6,806,40,108,405,121,52,134,538,197,1035,9415,25078,13575,3155,3155,3155,0,31519409,9,5663,25078,10941,1010245,7872772,10672477,4590656,1,172,1,161,4,1,0,0,412,320,slowBody
