% isAttack normal:	1000
% isAttack attack:	926
@relation 'attack-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,946,12461,0,0,2744,2744,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,3809,3809,0,0,0,0,1,0,0,42,42,1,0,0.02,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,5672,5672,0,0,0,0,1,0,0,40,40,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,5031,5031,0,0,0,0,1,0,0,47,47,1,0,0.1,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,1977,1977,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
1,tcp,SF,946,12461,0,0,1962,1962,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,5818,5818,0,0,0,0,1,0,0,42,42,1,0,0.05,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,2868,2868,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,1126,1126,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,880,12395,0,0,2467,2467,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,4847,4847,0,0,0,0,1,0,0,41,41,1,0,0.05,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,2518,2518,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,4759,4759,0,0,0,0,1,0,0,46,46,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,2050,2050,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,880,12395,0,0,885,885,0,0,0,0,1,0,0,99,99,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,3259,3259,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,1938,1938,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,2322,2322,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,S1,286,206,0,0,2310,2310,0.28,0.28,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,? %normal
0,tcp,SF,880,12395,0,0,2262,2262,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,4252,4252,0,0,0,0,1,0,0,60,60,1,0,0,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,3090,3090,0,0,0,0,1,0,0,57,57,1,0,0.05,0,0,0,0,0,? %normal
0,tcp,OTH,78,0,0,0,2465,2465,0,0,0,0,1,0,0,85,85,1,0,0.01,0,0,0,0,0,? %normal
0,tcp,OTH,66,0,0,0,5143,5143,0,0,0,0,1,0,0,43,43,1,0,0.07,0,0,0,0,0,? %normal
0,tcp,SF,352,12461,0,0,3040,3040,0,0,0,0,1,0,0,70,70,1,0,0,0,0,0,0,0,? %normal
0,tcp,SF,946,12461,0,0,2185,2185,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,? %normal
0,tcp,S1,140,74,0,0,2467,2467,0.33,0.33,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,? %normal
0,tcp,OTH,78,0,0,0,3071,3071,0,0,0,0,1,0,0,97,97,1,0,0,0,0,0,0,0,? %normal
