% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,udp,60,0,108,0,1,0,33,33,udpFlood
0,udp,60,0,112,0,1,0,33,33,udpFlood
0,udp,60,0,101,0,1,0,34,34,udpFlood
0,udp,60,0,116,0,1,0,37,37,udpFlood
0,udp,60,0,102,0,1,0,33,33,udpFlood
0,udp,60,0,158,0,1,0,33,33,udpFlood
0,udp,60,0,160,0,1,0,33,33,udpFlood
0,udp,60,0,86,0,1,0,42,42,udpFlood
0,udp,60,0,87,0,1,0,41,41,udpFlood
0,udp,60,0,107,0,1,0,40,40,udpFlood
0,udp,60,0,83,0,1,0,39,39,udpFlood
0,udp,60,0,83,0,1,0,40,40,udpFlood
0,udp,60,0,110,0,1,0,33,33,udpFlood
0,udp,60,0,103,0,1,0,34,34,udpFlood
0,udp,60,0,143,0,1,0,33,33,udpFlood
0,udp,60,0,111,0,1,0,33,33,udpFlood
0,udp,60,0,83,0,1,0,41,41,udpFlood
0,udp,60,0,119,0,1,0,33,33,udpFlood
0,udp,60,0,111,0,1,0,34,34,udpFlood
0,udp,60,0,106,0,1,0,33,33,udpFlood
0,udp,60,0,112,0,1,0,33,33,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,164,0,1,0,33,33,udpFlood
0,udp,60,0,136,0,1,0,18,18,udpFlood
0,udp,60,0,113,0,1,0,34,34,udpFlood
0,udp,60,0,141,0,1,0,35,35,udpFlood
0,udp,60,0,86,0,1,0,42,42,udpFlood
0,udp,60,0,79,0,1,0,41,41,udpFlood
0,udp,60,0,106,0,1,0,33,33,udpFlood
0,udp,60,0,117,0,1,0,33,33,udpFlood
0,udp,60,0,117,0,1,0,33,33,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,125,0,1,0,33,33,udpFlood
0,udp,60,0,63,0,1,0,26,26,udpFlood
0,udp,60,0,164,0,1,0,33,33,udpFlood
0,udp,60,0,148,0,1,0,33,33,udpFlood
0,udp,60,0,108,0,1,0,34,34,udpFlood
0,udp,60,0,48,0,1,0,22,22,udpFlood
0,udp,60,0,120,0,1,0,33,33,udpFlood
0,udp,60,0,139,0,1,0,33,33,udpFlood
0,udp,60,0,139,0,1,0,19,19,udpFlood
0,udp,60,0,160,0,1,0,33,33,udpFlood
0,udp,60,0,138,0,1,0,33,33,udpFlood
0,udp,60,0,106,0,1,0,40,40,udpFlood
0,udp,60,0,145,0,1,0,33,33,udpFlood
0,udp,60,0,110,0,1,0,33,33,udpFlood
0,udp,60,0,73,0,1,0,29,29,udpFlood
0,udp,60,0,30,0,1,0,27,27,udpFlood
0,udp,60,0,110,0,1,0,33,33,udpFlood
0,udp,60,0,139,0,1,0,18,18,udpFlood
0,udp,60,0,60,0,1,0,25,25,udpFlood
0,udp,60,0,86,0,1,0,40,40,udpFlood
0,udp,60,0,108,0,1,0,33,33,udpFlood
0,udp,60,0,140,0,1,0,33,33,udpFlood
0,udp,60,0,160,0,1,0,33,33,udpFlood
0,udp,60,0,92,0,1,0,42,42,udpFlood
0,udp,60,0,111,0,1,0,33,33,udpFlood
0,udp,60,0,104,0,1,0,39,39,udpFlood
0,udp,60,0,95,0,1,0,42,42,udpFlood
0,udp,60,0,112,0,1,0,33,33,udpFlood
0,udp,60,0,141,0,1,0,26,26,udpFlood
0,udp,60,0,99,0,1,0,41,41,udpFlood
0,udp,60,0,110,0,1,0,34,34,udpFlood
0,udp,60,0,143,0,1,0,33,33,udpFlood
0,udp,60,0,160,0,1,0,33,33,udpFlood
0,udp,60,0,85,0,1,0,40,40,udpFlood
0,udp,60,0,141,0,1,0,34,34,udpFlood
0,udp,60,0,109,0,1,0,34,34,udpFlood
0,udp,60,0,137,0,1,0,33,33,udpFlood
0,udp,60,0,12,0,1,0,12,12,udpFlood
0,udp,60,0,136,0,1,0,10,10,udpFlood
0,udp,60,0,138,0,1,0,21,21,udpFlood
0,udp,60,0,149,0,1,0,33,33,udpFlood
0,udp,60,0,114,0,1,0,34,34,udpFlood
0,udp,60,0,153,0,1,0,33,33,udpFlood
0,udp,60,0,114,0,1,0,34,34,udpFlood
0,udp,60,0,145,0,1,0,33,33,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,150,0,1,0,33,33,udpFlood
0,udp,60,0,106,0,1,0,34,34,udpFlood
0,udp,60,0,120,0,1,0,33,33,udpFlood
0,udp,60,0,29,0,1,0,26,26,udpFlood
0,udp,60,0,116,0,1,0,33,33,udpFlood
0,udp,60,0,84,0,1,0,41,41,udpFlood
0,udp,60,0,86,0,1,0,42,42,udpFlood
0,udp,60,0,102,0,1,0,33,33,udpFlood
0,udp,60,0,78,0,1,0,34,34,udpFlood
0,udp,60,0,69,0,1,0,27,27,udpFlood
0,udp,60,0,3,0,1,0,3,3,udpFlood
0,udp,60,0,14,0,1,0,14,14,udpFlood
0,udp,60,0,107,0,1,0,33,33,udpFlood
0,udp,60,0,165,0,1,0,33,33,udpFlood
0,udp,60,0,112,0,1,0,34,34,udpFlood
0,udp,60,0,106,0,1,0,34,34,udpFlood
0,udp,60,0,110,0,1,0,34,34,udpFlood
0,udp,60,0,23,0,1,0,23,23,udpFlood
0,udp,60,0,102,0,1,0,33,33,udpFlood
0,udp,60,0,131,0,1,0,33,33,udpFlood
0,udp,60,0,125,0,1,0,33,33,udpFlood
0,udp,60,0,26,0,1,0,26,26,udpFlood
0,udp,60,0,77,0,1,0,33,33,udpFlood
0,udp,60,0,109,0,1,0,33,33,udpFlood
0,udp,60,0,118,0,1,0,33,33,udpFlood
0,udp,60,0,100,0,1,0,34,34,udpFlood
0,udp,60,0,117,0,1,0,33,33,udpFlood
0,udp,60,0,138,0,1,0,12,12,udpFlood
0,udp,60,0,160,0,1,0,33,33,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,55,0,1,0,24,24,udpFlood
0,udp,60,0,125,0,1,0,33,33,udpFlood
0,udp,60,0,46,0,1,0,21,21,udpFlood
0,udp,60,0,107,0,1,0,38,38,udpFlood
0,udp,60,0,108,0,1,0,34,34,udpFlood
0,udp,60,0,21,0,1,0,21,21,udpFlood
0,udp,60,0,114,0,1,0,33,33,udpFlood
0,udp,60,0,143,0,1,0,33,33,udpFlood
0,udp,60,0,112,0,1,0,34,34,udpFlood
0,udp,60,0,159,0,1,0,33,33,udpFlood
0,udp,60,0,145,0,1,0,33,33,udpFlood
0,udp,60,0,85,0,1,0,40,40,udpFlood
0,udp,60,0,5,0,1,0,5,5,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,141,0,1,0,33,33,udpFlood
0,udp,60,0,109,0,1,0,33,33,udpFlood
0,udp,60,0,156,0,1,0,33,33,udpFlood
0,udp,60,0,159,0,1,0,33,33,udpFlood
0,udp,60,0,114,0,1,0,33,33,udpFlood
0,udp,60,0,84,0,1,0,40,40,udpFlood
0,udp,60,0,121,0,1,0,33,33,udpFlood
0,udp,60,0,153,0,1,0,33,33,udpFlood
0,udp,60,0,85,0,1,0,42,42,udpFlood
0,udp,60,0,153,0,1,0,33,33,udpFlood
0,udp,60,0,103,0,1,0,34,34,udpFlood
0,udp,60,0,164,0,1,0,33,33,udpFlood
0,udp,60,0,139,0,1,0,20,20,udpFlood
0,udp,60,0,1,0,1,0,1,1,udpFlood
0,udp,60,0,104,0,1,0,34,34,udpFlood
0,udp,60,0,141,0,1,0,34,34,udpFlood
0,udp,60,0,138,0,1,0,16,16,udpFlood
0,udp,60,0,141,0,1,0,21,21,udpFlood
0,udp,60,0,141,0,1,0,33,33,udpFlood
0,udp,60,0,144,0,1,0,33,33,udpFlood
0,udp,60,0,112,0,1,0,33,33,udpFlood
0,udp,60,0,138,0,1,0,12,12,udpFlood
0,udp,60,0,111,0,1,0,34,34,udpFlood
0,udp,60,0,114,0,1,0,33,33,udpFlood
0,udp,60,0,123,0,1,0,33,33,udpFlood
0,udp,60,0,130,0,1,0,33,33,udpFlood
0,udp,60,0,114,0,1,0,33,33,udpFlood
